7431c.001	言語科目Ａ	フランス語Ａ２－１	水5	佐藤　朋子	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7431c.B01	言語科目Ａ	フランス語Ａ２－１	木4	MENOU LOIC HENRI PAUL	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431c.B02	言語科目Ａ	フランス語Ａ２－１	木4	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431c.B03	言語科目Ａ	フランス語Ａ２－１	火2	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431c.D01	言語科目Ａ	フランス語Ａ２－１	木3	MENOU LOIC HENRI PAUL	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431c.D02	言語科目Ａ	フランス語Ａ２－１	木3	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431i.001	言語科目Ａ	フランス語基礎１	月5	佐藤　朋子	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7431i.B01	言語科目Ａ	フランス語基礎１	火2	岩津　航	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431i.B02	言語科目Ａ	フランス語基礎１	火2	南　コニー	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431i.B03	言語科目Ａ	フランス語基礎１	木4	南　コニー	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431i.D01	言語科目Ａ	フランス語基礎１	火3	岩津　航	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431i.D02	言語科目Ａ	フランス語基礎１	火3	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431m.001	言語科目Ａ	フランス語実践基礎１	水5	佐藤　朋子	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7431m.B01	言語科目Ａ	フランス語実践基礎１	木4	MENOU LOIC HENRI PAUL	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431m.B02	言語科目Ａ	フランス語実践基礎１	木4	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431m.B03	言語科目Ａ	フランス語実践基礎１	火2	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431m.D01	言語科目Ａ	フランス語実践基礎１	木3	MENOU LOIC HENRI PAUL	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431m.D02	言語科目Ａ	フランス語実践基礎１	木3	佐藤　朋子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7431q.A	言語科目Ａ	フランス語基礎・実践基礎（抽選用）	火2,木4	未定	1年人文、法、国際限定
7431q.C	言語科目Ａ	フランス語基礎・実践基礎（抽選用）	火3,木3	未定	1年先導、観光、経済、地域、総合（文）限定
7432a.001	言語科目Ｂ	フランス語Ｂ－１	月5	MENOU LOIC HENRI PAUL	2年以上限定
7432a.002	言語科目Ｂ	フランス語Ｂ－１	水5	MENOU LOIC HENRI PAUL	2年以上限定
7432c.001	言語科目Ｂ	フランス語展開Ⅰ	月5	MENOU LOIC HENRI PAUL	2年以上限定
7432c.002	言語科目Ｂ	フランス語展開Ⅰ	水5	MENOU LOIC HENRI PAUL	2年以上限定
7451a.001	言語科目Ａ	中国語Ａ１－１	月5	未定	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先、次いでこれらの学類の1年優先）
7451a.B01	言語科目Ａ	中国語Ａ１－１	火2	上田　望	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7451a.B02	言語科目Ａ	中国語Ａ１－１	火2	加納　希美	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
